Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source
2022 Ford F-250 XLT,"$76,025",1 mi.,Rapid Red Metallic Tinted Clearcoat,Medium Earth Gray,Four-wheel Drive,Diesel,Automatic,6.7L V8 32V DDI OHV Turbo Diesel,1FT8W2BTXNEG30073,2023-04-30 11:35:10.094266,Cars.com
2022 Ford F-150 XLT,"$82,620",–,Red Metallic,Black,Four-wheel Drive,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,1FTFW1E58NFA30631,2023-04-30 11:35:12.497756,Cars.com
2020 Nissan 370Z Sport,"$44,998","17,307 mi.",Brilliant Silver,Black,Rear-wheel Drive,Gasoline,7-Speed Automatic,3.7L V6 24V MPFI DOHC,JN1AZ4EH6LM821989,2023-04-30 11:35:15.499586,Cars.com
2021 INFINITI QX50 Luxe,"$31,000","39,987 mi.",Hermosa Blue,Graphite,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC Turbo,3PCAJ5BA0MF123468,2023-04-30 11:35:17.608678,Cars.com
2011 Lamborghini Gallardo LP570-4 Performante,"$152,785","40,129 mi.",–,–,All-wheel Drive,Gasoline,6-Speed Manual,5.2L V10 40V GDI DOHC,ZHWGU8AJ7BLA11078,2023-04-30 11:35:20.265816,Cars.com
2023 Buick Envision FWD Preferred,"$34,185",5 mi.,Moonstone Gray Metallic,Ebony w/Ebony Accents,Front-wheel Drive,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, variable valve control,",LRBAZLR49PD061074,2023-04-30 11:35:22.716912,Cars.com
2015 Nissan Titan PRO-4X,"$25,990","87,520 mi.",Glacier White,Charcoal,Four-wheel Drive,Gasoline,5-Speed Automatic,5.6L V8 32V MPFI DOHC,1N6BA0EC8FN510212,2023-04-30 11:35:26.272685,Cars.com
2022 Audi Q7 55 Prestige,"$70,159","15,253 mi.",Florett Silver Metallic,Black,All-wheel Drive,Gasoline,Automatic,3.0L V6 24V GDI DOHC Turbo,WA1VXBF78ND007967,2023-04-30 11:35:28.910187,Cars.com
2011 Nissan 370Z Touring,"$23,706","42,773 mi.",Gun Metallic,Black,Rear-wheel Drive,Gasoline,Automatic,"VQ 3.7L V-6 DOHC, variable valve control, engine with 332HP",JN1AZ4FH2BM360092,2023-04-30 11:35:32.530725,Cars.com
2021 Audi A8 L 55,"$61,948","38,708 mi.",Moonlight Blue Metallic,Sarder Brown,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WAU8DAF83MN009517,2023-04-30 11:35:35.859119,Cars.com
2023 Mercedes-Benz S-Class S 500 4MATIC,"$131,845",10 mi.,Diamond White,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,W1K6G6DB5PA184379,2023-04-30 11:35:38.688688,Cars.com
2020 MINI Countryman Cooper S ALL4,"$31,969","24,273 mi.",Midnight Black Metallic,Carbon Black,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WMZYX1C02L3L65458,2023-04-30 11:35:41.588750,Cars.com
2022 Kia Telluride SX,"$51,617","17,248 mi.",Ebony Black,Brown,All-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP5DHC8NG209963,2023-04-30 11:35:44.020009,Cars.com
2023 Cadillac XT4 AWD Sport,"$47,045","4,599 mi.",Galactic Grey Metallic,Jet Black with Cinnamon accents,All-wheel Drive,Gasoline,Automatic,Turbocharged Gas I4 2.0L/122,1GYFZFR4XPF121063,2023-04-30 11:35:47.032901,Cars.com
2023 Buick Encore GX Select,"$29,457",5 mi.,Ebony Twilight Metallic,Ebony,All-wheel Drive,Gasoline,Automatic,1.3L I3 12V GDI DOHC Turbo,KL4MMESL5PB127460,2023-04-30 11:35:50.569687,Cars.com
2021 Genesis GV80 3.5T,"$56,108","28,297 mi.",Savile Silver,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,KMUHCESC0MU034143,2023-04-30 11:35:53.118057,Cars.com
2023 Toyota 4Runner TRD Off Road Premium,"$47,807",–,Lunar Rock,Black,Four-wheel Drive,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,JTERU5JR3P6146286,2023-04-30 11:35:55.284204,Cars.com
2022 Nissan Rogue SV,"$30,557","5,017 mi.",Gun Metallic,Charcoal,All-wheel Drive,Gasoline,Automatic CVT,1.5L I3 12V GDI DOHC Turbo,5N1BT3BB5NC707533,2023-04-30 11:35:58.980313,Cars.com
2015 Porsche Panamera Turbo,"$54,000","71,582 mi.",Black,Black,All-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,4.8L V8 32V GDI DOHC Twin Turbo,WP0BC2A77FL075051,2023-04-30 11:36:02.031033,Cars.com
2023 Genesis G80 3.5T,"$67,080",10 mi.,Obsidian Black,Red,All-wheel Drive,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,KMTGB4SD1PU163910,2023-04-30 11:36:04.606335,Cars.com
2022 Kia Sorento EX,"$36,400","12,021 mi.",Gravity Gray,Gray,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,2.5L I4 16V PDI DOHC Turbo,5XYRH4LF7NG077098,2023-04-30 11:36:10.800793,Cars.com
2022 Chrysler Pacifica Hybrid Touring L,"$45,477",12 mi.,Brilliant Black Crystal Pearlcoat,Black,Front-wheel Drive,Hybrid,Automatic CVT,3.6L V6 24V MPFI DOHC Hybrid,2C4RC1L75NR210815,2023-04-30 11:36:13.831254,Cars.com
2019 Audi A8 L 55,"$41,000","70,156 mi.",Glacier White Metallic,Nutmeg Brown,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WAU8DAF87KN018282,2023-04-30 11:36:16.879668,Cars.com
2021 Alfa Romeo Giulia Ti,"$37,300","30,563 mi.",Vulcano Black Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo,ZARFANBN5M7643797,2023-04-30 11:36:20.091412,Cars.com
2021 Kia Telluride EX,"$39,992","23,785 mi.",Glacial White Pearl,Black,Front-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP34HC5MG132909,2023-04-30 11:36:23.708722,Cars.com
2022 Ford Explorer Platinum,"$54,635",47 mi.,White,Light Sandstone,Rear-wheel Drive,Hybrid,10-Speed Automatic,3.3L V6 24V PDI DOHC Hybrid,1FM5K7HW5NNA10580,2023-04-30 11:36:26.277540,Cars.com
2023 GMC Sierra 1500 Elevation,"$53,470",5 mi.,Summit White,Jet Black,Four-wheel Drive,Gasoline,Automatic,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr",1GTRUCED4PZ256608,2023-04-30 11:36:28.401939,Cars.com
2013 Kia Sportage EX,"$16,995","65,816 mi.",Twilight Blue Metallic,Black,All-wheel Drive,Gasoline,6-Speed Automatic,2.4L I4 16V MPFI DOHC,KNDPCCA25D7500773,2023-04-30 11:36:32.393700,Cars.com
2021 INFINITI QX50 ESSENTIAL,"$38,990","21,190 mi.",Graphite Shadow,Graphite,All-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC Turbo,3PCAJ5CB2MF123592,2023-04-30 11:36:35.395416,Cars.com
